Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation
1004377|121 REGIONAL DISPOSAL FACILITY|MELISSA|TX|75454|3820 SAM RAYBURN HIGHWAY|33.29857|-96.53586|0|0||||
1000112|23rd and 3rd|BROOKLYN|NY|11232|730 3rd Avenue|40.663|-74|82959.744|82875.9|38.25|45.594|362.8|82596.944
1006394|29-6 #2 Central Delivery Point|Blanco|NM|87412||36.7452|-107.4455|25176.656|25150.9|11.75|14.006|25176.656|
1002885|30-5 Central Delivery Point Compressor Station|Aztec|NM|87410||36.8118|-107.4036|38883.204|38843.2|18.25|21.754|38883.204|
1002707|31-6 Central Delivery Point|BLOOMFIELD|NM|87413||36.8363|-107.4199|63884.36|63818.6|30|35.76|63884.36|
1003742|31st Street Landfill|WESTCHESTER|IL|60154|11700 W 31ST ST|41.83491|-87.91633|12869||12869|||
1002718|32-7 Central Delivery Point|BLANCO|NM|87412||36.9313|-107.5604|56478.588|56420.5|26.5|31.588|56478.588|
1002721|32-8 #2 CDP COMPRESSOR STATION|BLANCO|NM|87412||36.9569|-107.6631|55075.092|55018.1|26|30.992|55075.092|
1003188|3M BROWNWOOD|BROWNWOOD|TX|76801|4501 HIGHWAY 377 SOUTH|31.671177|-98.996513|36879.412|36841.6|17.25|20.562|36671.912|
1005043|3M CO|MAPLEWOOD|MN|55144||44.951|-92.9959|75803.06|75737.3|30|35.76|75803.06|
1003739|3M CO - GUIN|GUIN|AL|35563|6675 US HIGHWAY 43|33.96672|-87.899855|28749.996|28721.5|13|15.496|27638.796|
1007698|3M CO - WAUSAU DOWNTOWN|WAUSAU|WI|54401|144 ROSECRANS ST|44.95018|-89.63766|26048.552|26021.7|12.25|14.602|26048.552|
1004206|3M COMPANY|DECATUR|AL|35609|1400 STATE DOCKS RD.|34.641667|-87.038611|50947.456|50894.3|24.25|28.906|50947.456|
1006665|3M CORDOVA|CORDOVA|IL|61242|22614 ROUTE 84 NORTH|41.755|-90.284167|28987.888|28957.7|13.5|16.688|28987.888|
1004836|3M Cottage Grove Center - Site|Cottage Grove|MN|55016|10746 Innovation Rd|44.789444|-92.908333|44522.608|44423.2|41|58.408|43564.808|
1003408|3M INDUSTRIAL MINERAL PRODUCTS DIVISION|LITTLE ROCK|AR|72216|3110 WALTERS DRIVE|34.708919|-92.239492|28192.044|28163|13.25|15.794|28192.044|
1004914|3M MAGNETIC TAPE MANUFACTURING DIVISION|HUTCHINSON|MN|55350|905-915 ADAMS STREET SOUTHEAST|44.879677|-94.359598|40696.996|40654.8|19.25|22.946|40696.996|
1004804|3M NEVADA PLANT|NEVADA|MO|64772|2120 E. AUSTIN|37.83442|-94.330397|29570.988|29540.3|14|16.688|29570.988|
1001106|48th Street Peaking Station|HOLLAND|MI|49423|491 E 48TH ST|42.7553|-86.0853|20080.076|20059.8|9.25|11.026|32.3|20047.776
1004680|58TH ST LF (MAIN COUNTY LF)|MIAMI|FL|33178|8831 NW 58TH ST|25.82621|-80.340819|112945.5||112945.5|||
