Facility Id|Facility Name|City|State|Zip Code|Address|Latitude|Longitude|Total reported direct emissions|CO2 emissions (non-biogenic) |Methane (CH4) emissions |Nitrous Oxide (N2O) emissions |Stationary Combustion|Electricity Generation||||||||||||||||||||||||||||||||||||||
1002685|AC 857 A|Offshore|TX|00000||26.29555555|-94.89777777|205454.158|200728.2|4563.25|162.708|192490.904|||||||||||||||||||||||||||||||||||||||
1004377|121 REGIONAL DISPOSAL FACILITY|MELISSA|TX|75454|3820 SAM RAYBURN HIGHWAY|33.29857|-96.53586|325416.25||325416.25|||||||||||||||||||||||||||||||||||||||||
1010040|15-18565/15-18662|Hazard|KY|40701|1021 Tori Drive|37.274127|-83.239034|51538.75||51538.75|||||||||||||||||||||||||||||||||||||||||
1000112|23rd and 3rd|BROOKLYN|NY|11232|730 3rd Avenue|40.663|-74|68839.396|68769.8|31.75|37.846|331.4|68507.996||||||||||||||||||||||||||||||||||||||
1003742|31st Street Landfill|WESTCHESTER|IL|60154|11700 W 31ST ST|41.834962|-87.916392|106294.198|293.9|106000|0.298|294.448|||||||||||||||||||||||||||||||||||||||
1003188|3M BROWNWOOD|BROWNWOOD|TX|76801|4501 HIGHWAY 377 SOUTH|31.671177|-98.996513|29520.04|29489.9|13.75|16.39|29389.74|||||||||||||||||||||||||||||||||||||||
1005043|3M CO|MAPLEWOOD|MN|55144||44.951|-92.9959|87926.142|87820.6|44.75|60.792|87926.142|||||||||||||||||||||||||||||||||||||||
1003739|3M CO - GUIN|GUIN|AL|35563|6675 US HIGHWAY 43|33.96548|-87.89936|29837.692|29808.1|13.5|16.092|28827.692|||||||||||||||||||||||||||||||||||||||
1007698|3M CO - WAUSAU DOWNTOWN|WAUSAU|WI|54401|144 ROSECRANS ST|44.95018|-89.63766|41528.144|41485.4|19.5|23.244|41528.144|||||||||||||||||||||||||||||||||||||||
1004206|3M COMPANY|DECATUR|AL|35609|1400 STATE DOCKS RD.|34.64179|-87.033608|38181.6856|36887.4|17.25|21.158|36925.808|||||||||||||||||||||||||||||||||||||||
